ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
9,"$80-90k",2017,"2017","true","true",5296939,55482.703566872966,53128,"United States","01000US","united-states",0.03585857804268345
4,"$30-40k",2017,"2017","true","true",422721,14958.4579654652,3878,"Washington","04000US53","washington",0.12184675569944692
18,"$170-180k",2017,"2017","true","true",492628,17203.18751251523,5160,"United States","01000US","united-states",0.0033349335501147103
17,"$160-170k",2017,"2017","true","true",21795,3613.139364254177,216,"Washington","04000US53","washington",0.006282276112304441
5,"$40-50k",2017,"2017","true","true",15445707,91305.36525570572,147128,"United States","01000US","united-states",0.10456248219658978
3,"$20-30k",2017,"2017","true","true",451607,15387.623122566236,4152,"Washington","04000US53","washington",0.1301729694080969
19,"$180-190k",2017,"2017","true","true",457330,16577.394719768054,4758,"United States","01000US","united-states",0.0030959774119091086
12,"$110-120k",2017,"2017","true","true",63458,6127.8658677501335,625,"Washington","04000US53","washington",0.018291382314045205
10,"$90-100k",2017,"2017","true","true",3572079,45837.37479503777,36121,"United States","01000US","united-states",0.024181829089617732
2,"$10-20k",2017,"2017","true","true",385045,14364.304020838717,3497,"Washington","04000US53","washington",0.11098687798404512
20,"$190-200k",2017,"2017","true","true",234915,11890.07321834177,2515,"United States","01000US","united-states",0.0015902992012739778
19,"$180-190k",2017,"2017","true","true",16274,3124.6466036199863,154,"Washington","04000US53","washington",0.0046908814614197054
3,"$20-30k",2017,"2017","true","true",21457270,105142.74272995506,190148,"United States","01000US","united-states",0.14525883550441684
1,"< $10K",2017,"2017","true","true",343012,13649.692552761067,3401,"Washington","04000US53","washington",0.09887112153401105
21,"$200k+",2017,"2017","true","true",3549995,45698.963043847754,38084,"United States","01000US","united-states",0.024032327493036267
11,"$100-110k",2017,"2017","true","true",110463,8028.911647707339,1144,"Washington","04000US53","washington",0.03184028750600989
11,"$100-110k",2016,"2016","true","true",95957,7495.615743433031,951,"Washington","04000US53","washington",0.028621581394793906
1,"< $10K",2016,"2016","true","true",18071160,97666.88817368487,174284,"United States","01000US","united-states",0.12429233146214654
1,"< $10K",2016,"2016","true","true",360544,13926.691696995344,3503,"Washington","04000US53","washington",0.10754128872729009
21,"$200k+",2016,"2016","true","true",3246899,43742.62632939787,35081,"United States","01000US","united-states",0.022331972420813723
21,"$200k+",2016,"2016","true","true",85570,7089.591834662779,883,"Washington","04000US53","washington",0.02552339818827719
2,"$10-20k",2016,"2016","true","true",20389119,102793.07112297037,179785,"United States","01000US","united-states",0.1402351114687242
2,"$10-20k",2016,"2016","true","true",386070,14349.652125237682,3505,"Washington","04000US53","washington",0.11515505829786346
20,"$190-200k",2016,"2016","true","true",215272,11382.739031198564,2232,"United States","01000US","united-states",0.0014806276286923037
20,"$190-200k",2016,"2016","true","true",7170,2076.6793340845697,68,"Washington","04000US53","washington",0.002138632289469995
3,"$20-30k",2016,"2016","true","true",21371186,104825.32227211524,188687,"United States","01000US","united-states",0.1469897081344632
3,"$20-30k",2016,"2016","true","true",458345,15443.603252314364,4090,"Washington","04000US53","washington",0.13671288936082635
19,"$180-190k",2016,"2016","true","true",415815,15808.94594766273,4371,"United States","01000US","united-states",0.0028599500976656984
19,"$180-190k",2016,"2016","true","true",13644,2861.937164537243,140,"Washington","04000US53","washington",0.004069665126573028
4,"$30-40k",2016,"2016","true","true",19001439,99782.67882492718,174794,"United States","01000US","united-states",0.13069073343635706
4,"$30-40k",2016,"2016","true","true",424512,14949.305951501487,3900,"Washington","04000US53","washington",0.12662134874023523
18,"$170-180k",2016,"2016","true","true",455511,16544.087104769496,4674,"United States","01000US","united-states",0.0031329767539357645
18,"$170-180k",2016,"2016","true","true",12889,2781.941198626326,126,"Washington","04000US53","washington",0.003844467444766913
5,"$40-50k",2016,"2016","true","true",15123581,90375.65578668928,144076,"United States","01000US","united-states",0.1040190636653442
5,"$40-50k",2016,"2016","true","true",357447,13873.923640689904,3394,"Washington","04000US53","washington",0.10661753081927215
17,"$160-170k",2016,"2016","true","true",552650,18216.83297005377,5816,"United States","01000US","united-states",0.003801092845315701
17,"$160-170k",2016,"2016","true","true",16584,3153.8613612752347,171,"Washington","04000US53","washington",0.004946593847778298
6,"$50-60k",2016,"2016","true","true",11847222,80989.04434778473,116099,"United States","01000US","united-states",0.08148446716921519
6,"$50-60k",2016,"2016","true","true",270989,12253.176357404045,2652,"Washington","04000US53","washington",0.08082926436418193
16,"$150-160k",2016,"2016","true","true",1162540,26365.46584644178,12020,"United States","01000US","united-states",0.007995878904176811
16,"$150-160k",2016,"2016","true","true",35946,4629.768374877776,365,"Washington","04000US53","washington",0.010721795854573004
7,"$60-70k",2016,"2016","true","true",9088557,71664.72250302475,89509,"United States","01000US","united-states",0.062510538291765
7,"$60-70k",2016,"2016","true","true",233117,11434.369468362587,2314,"Washington","04000US53","washington",0.0695329907146969
15,"$140-150k",2016,"2016","true","true",852847,22606.473643118465,8803,"United States","01000US","united-states",0.005865829421603112
15,"$140-150k",2016,"2016","true","true",30103,4240.539199801411,288,"Washington","04000US53","washington",0.00897897458994634
8,"$70-80k",2016,"2016","true","true",6593885,61598.05507731842,65409,"United States","01000US","united-states",0.045352337096416395
8,"$70-80k",2016,"2016","true","true",179521,10120.034586251491,1810,"Washington","04000US53","washington",0.05354663978213989
14,"$130-140k",2016,"2016","true","true",1073008,25337.731582529843,11149,"United States","01000US","united-states",0.007380083292801067
14,"$130-140k",2016,"2016","true","true",32560,4408.570099969505,341,"Washington","04000US53","washington",0.009711836449810744
9,"$80-90k",2016,"2016","true","true",5084130,54381.835774797495,50617,"United States","01000US","united-states",0.034968334692219154
9,"$80-90k",2016,"2016","true","true",139749,8984.699646288505,1431,"Washington","04000US53","washington",0.04168364348969907
13,"$120-130k",2016,"2016","true","true",2049018,34895.19391118655,20853,"United States","01000US","united-states",0.014093020283584706
13,"$120-130k",2016,"2016","true","true",59274,5924.25002805292,588,"Washington","04000US53","washington",0.017679956809769106
10,"$90-100k",2016,"2016","true","true",3440709,44998.513019947735,34935,"United States","01000US","united-states",0.023664985728242723
10,"$90-100k",2016,"2016","true","true",100572,7668.308735634956,976,"Washington","04000US53","washington",0.02999812086702599
12,"$110-120k",2016,"2016","true","true",1753923,32318.006448012038,17684,"United States","01000US","united-states",0.012063374950754819
12,"$110-120k",2016,"2016","true","true",52047,5557.444124104864,542,"Washington","04000US53","washington",0.015524322841010437
11,"$100-110k",2016,"2016","true","true",3603926,46026.961166594694,36228,"United States","01000US","united-states",0.02478758225576266
6,"$50-60k",2015,"2015","true","true",259245,11995.534820630397,2605,"Washington","04000US53","washington",0.07917028551325322
1,"< $10K",2015,"2015","true","true",382193,14264.811271680639,3665,"Washington","04000US53","washington",0.11671711674735015
11,"$100-110k",2015,"2015","true","true",3368094,44525.213333888576,33842,"United States","01000US","united-states",0.02348639810454995
12,"$110-120k",2015,"2015","true","true",47671,5321.295682883276,499,"Washington","04000US53","washington",0.014558146466478792
12,"$110-120k",2015,"2015","true","true",1626297,31131.357713574147,16648,"United States","01000US","united-states",0.011340496666136773
10,"$90-100k",2015,"2015","true","true",101194,7688.394687940296,1009,"Washington","04000US53","washington",0.03090342290971146
10,"$90-100k",2015,"2015","true","true",3312220,44163.157612806994,33267,"United States","01000US","united-states",0.023096777444409935
13,"$120-130k",2015,"2015","true","true",60363,5976.128004261617,582,"Washington","04000US53","washington",0.018434129662815116
13,"$120-130k",2015,"2015","true","true",1900044,33617.103370539655,19333,"United States","01000US","united-states",0.013249389654849748
