ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Nation,Nation,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,Geography,ID Geography,Slug Geography
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433031","Bookkeeping, accounting, & auditing clerks",2014,"2014","01000US","United States","true","true",28279,4110.389931657737,35828.556137062835,3915.086680773325,310,"bookkeeping-accounting-auditing-clerks","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433021","Billing & posting clerks",2014,"2014","01000US","United States","true","true",9292,2363.192624465162,30431.06995264744,3388.9275241506484,95,"billing-posting-clerks","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514050","Metal furnace operators, tenders, pourers, & casters",2014,"2014","01000US","United States","true","true",467,530.5197642033746,38557.68308351178,17536.16141014605,5,"metal-furnace-operators-tenders-pourers-casters","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","5140XX","Model makers, patternmakers, & molding machine setters, metal & plastic",2014,"2014","01000US","United States","true","true",1178,842.4955319483664,39471.87775891341,8912.234148376607,6,"model-makers-patternmakers-molding-machine-setters-metal-plastic","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433011","Bill & account collectors",2014,"2014","01000US","United States","true","true",1066,801.4587072992462,39850.761726078796,13550.667058977771,13,"bill-account-collectors","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","431011","Firstline supervisors of office & administrative support workers",2014,"2014","01000US","United States","true","true",26140,3953.2101308905553,54565.43037490436,4869.350964562863,289,"firstline-supervisors-of-office-administrative-support-workers","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419099","Other Sales Workers",2014,"2014","01000US","United States","true","true",7017,2054.351402777775,64263.115576457174,19174.35371799102,63,"other-sales-workers","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514111","Tool & die makers",2014,"2014","01000US","United States","true","true",1045,793.527747040602,70215.33110047846,18875.37566558639,8,"tool-die-makers","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419091","Doortodoor sales workers, news & street vendors, & related workers",2014,"2014","01000US","United States","true","true",3005,1345.2202013461117,21545.05956738769,9073.162227657867,24,"doortodoor-sales-workers-news-street-vendors-related-workers","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419041","Telemarketers",2014,"2014","01000US","United States","true","true",1075,804.8337347167129,22138.54139534884,9918.657383365327,10,"telemarketers","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419031","Sales engineers",2014,"2014","01000US","United States","true","true",676,638.2668929559821,108372.87130177514,29420.266971418503,9,"sales-engineers","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419020","Real estate brokers & sales agents",2014,"2014","01000US","United States","true","true",13776,2875.420090949401,77211.84153600465,20279.97046479155,137,"real-estate-brokers-sales-agents","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514120","Welding, soldering, & brazing workers",2014,"2014","01000US","United States","true","true",12091,2694.544928108812,39540.26052435696,4336.990226209478,103,"welding-soldering-brazing-workers","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419010","Models, demonstrators, & product promoters",2014,"2014","01000US","United States","true","true",1460,937.8908134604859,23300.072602739725,19005.951706076172,14,"models-demonstrators-product-promoters","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","414010","Sales representatives, wholesale & manufacturing",2014,"2014","01000US","United States","true","true",30861,4292.195515680261,80238.41855416221,11112.04422290077,295,"sales-representatives-wholesale-manufacturing","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","413099","Sales representatives, services, all other",2014,"2014","01000US","United States","true","true",12192,2705.732942493419,80364.59178149606,15543.624051349156,113,"sales-representatives-services-all-other","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","413041","Travel agents",2014,"2014","01000US","United States","true","true",1620,987.9216882948471,37577.71358024691,9981.450232115962,16,"travel-agents","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514XXX","Miscellaneous metal workers & plastic workers, including multiple machine tool setters",2014,"2014","01000US","United States","true","true",4305,1609.7912934120561,42789.336585365854,8631.656010672148,47,"miscellaneous-metal-workers-plastic-workers-including-multiple-machine-tool-setters","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","413031","Securities, commodities, & financial services sales agents",2014,"2014","01000US","United States","true","true",1779,1035.2427844812871,101362.3029792018,73433.64555590977,18,"securities-commodities-financial-services-sales-agents","Washington","04000US53","washington"
